Family,Gene
G1413_CDS_2619,"['G1413_CDS_2619', 'G1414_CDS_2946']"
G1414_CDS_5889,['G1414_CDS_5889']
GCA_014353695.1_CDS_2415,"['GCA_003503255.1_CDS_2397', 'GCA_014353695.1_CDS_2415', 'GCA_014490035.1_CDS_2776', 'GCA_014529725.1_CDS_3302', 'GCA_027922385.1_CDS_2726']"
GCA_022870085.1_CDS_2074,"['GCA_013343135.1_CDS_0887', 'GCA_022870085.1_CDS_2074']"
GCF_002192705.1_CDS_4944,"['GCA_000165835.1_CDS_5359', 'GCF_002192695.1_CDS_0326', 'GCF_002192705.1_CDS_4944']"
GCA_033096405.1_CDS_2513,['GCA_033096405.1_CDS_2513']
GCF_009363015.1_CDS_5419,"['GCA_000165835.1_CDS_6675', 'GCF_009363015.1_CDS_5419']"
GCA_003503255.1_CDS_3329,"['GCA_003503255.1_CDS_3329', 'GCA_014353695.1_CDS_4874', 'GCA_014490035.1_CDS_5732', 'GCA_014529725.1_CDS_4307', 'GCA_027922385.1_CDS_3561', 'GCF_002192695.1_CDS_6535']"
GCF_002192695.1_CDS_3978,"['GCA_000165835.1_CDS_2507', 'GCF_002192695.1_CDS_3978']"
GCA_027529815.1_CDS_5081,"['GCA_016599195.1_CDS_5448', 'GCA_027529805.1_CDS_5325', 'GCA_027529815.1_CDS_5081', 'GCA_028462445.1_CDS_3124', 'GCA_029837755.1_CDS_6073', 'GCF_029837835.1_CDS_5739']"
GCA_001299295.1_CDS_1197,"['GCA_001299235.1_CDS_5165', 'GCA_001299295.1_CDS_1197']"
GCA_017745625.1_CDS_1711,"['GCA_000165835.1_CDS_5841', 'GCA_017745625.1_CDS_1711']"
GCA_001038045.1_CDS_0090,['GCA_001038045.1_CDS_0090']
GCA_038024675.1_CDS_4094,"['GCA_038024675.1_CDS_4094', 'GCA_038024685.1_CDS_1123']"
GCA_001299035.1_CDS_5942,['GCA_001299035.1_CDS_5942']
GCA_000165835.1_CDS_6797,"['GCA_000165835.1_CDS_6797', 'GCA_003293615.1_CDS_5785', 'GCF_009363015.1_CDS_5539']"
GCF_029837835.1_CDS_3775,"['GCA_029837755.1_CDS_2988', 'GCF_029837835.1_CDS_3775']"
G1412_CDS_0588,"['G1412_CDS_0588', 'G1413_CDS_0594', 'G1414_CDS_4885', 'PCF1_G1401_CDS_0354']"
GCF_001654705.1_CDS_5306,['GCF_001654705.1_CDS_5306']
GCF_001654705.1_CDS_2587,"['GCA_001654705.1_CDS_2496', 'GCF_001654705.1_CDS_2587']"
GCA_013413495.1_CDS_5945,['GCA_013413495.1_CDS_5945']
GCF_001641525.1_CDS_5265,['GCF_001641525.1_CDS_5265']
GCA_022444285.1_CDS_2217,['GCA_022444285.1_CDS_2217']
EHA_G1407_CDS_3946,"['EHA_G1407_CDS_3946', 'EHB_G1408_CDS_4576', 'G1412_CDS_2019', 'G1413_CDS_2004']"
GCA_038024685.1_CDS_2752,"['DC32_G1318_CDS_2781', 'DC32_G1318_CDS_2783', 'GCA_038024675.1_CDS_0893', 'GCA_038024675.1_CDS_0894', 'GCA_038024685.1_CDS_2752', 'GCF_003031105.1_CDS_1415', 'HH1101_G1394_CDS_4594', 'NJ810_G1325_CDS_2740', 'NJ810_G1325_CDS_2742']"
GCA_900010105.1_CDS_4665,['GCA_900010105.1_CDS_4665']
GCA_001299295.1_CDS_4263,['GCA_001299295.1_CDS_4263']
GCA_001299035.1_CDS_0799,"['GCA_001299035.1_CDS_0799', 'GCA_001457475.1_CDS_3400', 'GCA_013343135.1_CDS_0899', 'GCA_016027035.1_CDS_3806', 'GCA_022870085.1_CDS_2062', 'GCA_900475575.1_CDS_3399']"
GCA_013413495.1_CDS_5933,['GCA_013413495.1_CDS_5933']
GCA_016403305.1_CDS_1819,"['GCA_016403305.1_CDS_1819', 'GCA_016728825.1_CDS_4772', 'GCA_034078005.1_CDS_4755', 'GCA_900010105.1_CDS_5145', 'NJ7201_G1323_CDS_1438']"
NJ7201_G1323_CDS_0837,['NJ7201_G1323_CDS_0837']
GCA_027529805.1_CDS_3352,['GCA_027529805.1_CDS_3352']
GCA_014490035.1_CDS_4738,"['GCA_003503255.1_CDS_4749', 'GCA_014353695.1_CDS_1574', 'GCA_014490035.1_CDS_4738', 'GCA_014529725.1_CDS_4858']"
GCF_002192695.1_CDS_6308,"['GCA_000165835.1_CDS_3979', 'GCA_034078005.1_CDS_6216', 'GCF_002192695.1_CDS_6308', 'NJ7201_G1323_CDS_3569']"
JMCD_G1434_CDS_0893,['JMCD_G1434_CDS_0893']
G1414_CDS_3285,"['G1413_CDS_2284', 'G1414_CDS_3285']"
AC5204_G1324_CDS_0845,['AC5204_G1324_CDS_0845']
GCA_040438975.1_CDS_4386,"['AC5204_G1324_CDS_7046', 'GCA_036035015.1_CDS_5687', 'GCA_040438975.1_CDS_4386', 'GCF_009363015.1_CDS_3441']"
GCA_027529815.1_CDS_3795,['GCA_027529815.1_CDS_3795']
GCA_900009125.1_CDS_3449,"['GCA_001299235.1_CDS_4159', 'GCA_900009125.1_CDS_3449']"
NJ7201_G1323_CDS_1707,['NJ7201_G1323_CDS_1707']
GCA_001298895.1_CDS_4382,"['GCA_001298895.1_CDS_4382', 'GCA_029837755.1_CDS_1297', 'GCA_032703345.1_CDS_5624', 'GCA_034424885.1_CDS_0676', 'GCA_034424905.1_CDS_0145', 'GCA_034424925.1_CDS_5218']"
GCA_028462445.1_CDS_4730,"['GCA_027529565.1_CDS_0868', 'GCA_027529805.1_CDS_3331', 'GCA_028462445.1_CDS_4730']"
G1413_CDS_5224,['G1413_CDS_5224']
NJ7201_G1323_CDS_3211,['NJ7201_G1323_CDS_3211']
AC5204_G1324_CDS_0319,['AC5204_G1324_CDS_0319']
GCA_017745625.1_CDS_3989,['GCA_017745625.1_CDS_3989']
JMCD_G1433_CDS_7278,"['GCA_029837755.1_CDS_6444', 'GCF_029837835.1_CDS_0422', 'JMCD_G1432_CDS_6046', 'JMCD_G1433_CDS_7278', 'JMCD_G1434_CDS_2881', 'JMCD_G1434_CDS_7499']"
PCF1_G1401_CDS_2175,['PCF1_G1401_CDS_2175']
GCA_003503255.1_CDS_5959,"['GCA_003503255.1_CDS_5959', 'GCA_014353695.1_CDS_2845', 'GCA_014490035.1_CDS_2747', 'GCA_014529725.1_CDS_0604', 'GCA_027922385.1_CDS_2704', 'GCF_002192695.1_CDS_5348', 'GCF_002192705.1_CDS_4049']"
GCA_001298795.1_CDS_1249,"['GCA_001298795.1_CDS_1249', 'GCA_001298935.1_CDS_3226']"
GCA_033096405.1_CDS_5319,['GCA_033096405.1_CDS_5319']
GCA_001299115.1_CDS_0214,"['GCA_001299115.1_CDS_0214', 'GCA_029837755.1_CDS_6446', 'GCF_002192705.1_CDS_1726', 'GCF_029837835.1_CDS_0424', 'JMCD_G1432_CDS_6044', 'JMCD_G1433_CDS_7280', 'JMCD_G1434_CDS_7501']"
GCA_001299335.1_CDS_6139,"['GCA_000165835.1_CDS_6467', 'GCA_001299335.1_CDS_6139', 'GCA_001807115.1_CDS_4096', 'GCA_023703405.1_CDS_3386', 'GCF_002192695.1_CDS_2470']"
GCA_003293615.1_CDS_5708,['GCA_003293615.1_CDS_5708']
GCF_009363015.1_CDS_5511,"['GCF_002192705.1_CDS_3912', 'GCF_009363015.1_CDS_5511']"
G1412_CDS_0991,"['G1412_CDS_0991', 'G1413_CDS_1004', 'G1414_CDS_4501', 'PCF1_G1423_CDS_4512']"
GCA_001298795.1_CDS_3114,"['GCA_001298795.1_CDS_3114', 'GCA_001299195.1_CDS_3919', 'GCA_029837755.1_CDS_1115', 'GCF_029837835.1_CDS_1501']"
GCA_003503255.1_CDS_2998,"['GCA_003503255.1_CDS_2998', 'GCA_014353695.1_CDS_2295', 'GCA_014490035.1_CDS_0144', 'GCA_014529725.1_CDS_3228', 'GCA_027922385.1_CDS_3047', 'NJ7201_G1323_CDS_5982']"
NJ7201_G1323_CDS_3071,['NJ7201_G1323_CDS_3071']
JMCD_G1434_CDS_2728,"['G1412_CDS_0715', 'JMCD_G1432_CDS_0749', 'JMCD_G1434_CDS_2728']"
JMCD_G1432_CDS_7492,['JMCD_G1432_CDS_7492']
PCF1_G1388_CDS_1405,['PCF1_G1388_CDS_1405']
GCA_033096405.1_CDS_4760,['GCA_033096405.1_CDS_4760']
GCA_025818255.1_CDS_0425,['GCA_025818255.1_CDS_0425']
G1413_CDS_2707,"['G1412_CDS_2747', 'G1413_CDS_2707', 'G1414_CDS_2859']"
GCA_023703405.1_CDS_1281,['GCA_023703405.1_CDS_1281']
GCA_022488545.1_CDS_4272,['GCA_022488545.1_CDS_4272']
JMCD_G1434_CDS_4196,['JMCD_G1434_CDS_4196']
GCA_032703345.1_CDS_5747,"['GCA_023703405.1_CDS_4912', 'GCA_032703345.1_CDS_5747']"
GCF_002192705.1_CDS_4805,['GCF_002192705.1_CDS_4805']
GCA_001298895.1_CDS_3734,"['GCA_000967095.1_CDS_3036', 'GCA_001298895.1_CDS_3734', 'GCA_001299015.1_CDS_3190', 'GCA_001299215.1_CDS_1791', 'GCA_001299235.1_CDS_2090']"
GCF_001641525.1_CDS_5395,"['GCA_000165835.1_CDS_5417', 'GCA_001641525.1_CDS_5252', 'GCF_001641525.1_CDS_5395']"
G1412_CDS_4846,['G1412_CDS_4846']
GCA_001299015.1_CDS_2939,"['GCA_001299015.1_CDS_2939', 'GCA_001299095.1_CDS_4731', 'GCA_001299235.1_CDS_4198', 'JMCD_G1432_CDS_5852', 'JMCD_G1433_CDS_7477']"
JMCD_G1433_CDS_2090,"['JMCD_G1432_CDS_3699', 'JMCD_G1433_CDS_2090']"
GCF_002192705.1_CDS_1873,"['GCF_002192695.1_CDS_6522', 'GCF_002192705.1_CDS_1873']"
GCA_001298795.1_CDS_3155,"['GCA_001298795.1_CDS_3155', 'GCA_001299195.1_CDS_3878', 'GCA_029837755.1_CDS_1159', 'GCF_029837835.1_CDS_1545']"
JMCD_G1433_CDS_2452,['JMCD_G1433_CDS_2452']
GCA_029837755.1_CDS_6468,"['GCA_001299335.1_CDS_5712', 'GCA_002083165.2_CDS_4836', 'GCA_010815595.1_CDS_3686', 'GCA_022488515.1_CDS_5634', 'GCA_029837755.1_CDS_6468', 'GCF_029837835.1_CDS_0446']"
GCF_002192695.1_CDS_5500,"['GCA_000165835.1_CDS_3947', 'GCA_003503255.1_CDS_0977', 'GCA_014353695.1_CDS_2617', 'GCA_014490035.1_CDS_2519', 'GCA_014529725.1_CDS_3886', 'GCF_002192695.1_CDS_5500', 'GCF_002192705.1_CDS_1537']"
GCA_001298795.1_CDS_3187,"['GCA_001298795.1_CDS_3187', 'GCA_001299195.1_CDS_3845', 'GCA_029837755.1_CDS_1203', 'GCF_029837835.1_CDS_1587']"
GCA_025818255.1_CDS_0874,['GCA_025818255.1_CDS_0874']
PCF1_G1423_CDS_4156,['PCF1_G1423_CDS_4156']
GCA_000508285.1_CDS_4510,"['GCA_000508285.1_CDS_4510', 'GCA_001457475.1_CDS_4485', 'GCA_013343135.1_CDS_1980', 'GCA_016027035.1_CDS_2721', 'GCA_022870085.1_CDS_0980', 'GCA_900475575.1_CDS_4421']"
GCA_003503255.1_CDS_1990,"['GCA_003503255.1_CDS_1990', 'GCA_014353695.1_CDS_5280', 'GCA_014490035.1_CDS_3260', 'GCA_014529725.1_CDS_0186']"
GCA_001558915.2_CDS_5757,['GCA_001558915.2_CDS_5757']
GCA_032703345.1_CDS_4872,"['DC32_G1318_CDS_1390', 'GCA_032703345.1_CDS_4872']"
PCF1_G1401_CDS_0088,"['PCF1_G1401_CDS_0088', 'PCF1_G1417_CDS_1632', 'PCF1_G1418_CDS_1626', 'PCF1_G1423_CDS_4643']"
GCA_017745625.1_CDS_4578,['GCA_017745625.1_CDS_4578']
AC5204_G1324_CDS_1405,['AC5204_G1324_CDS_1405']
GCA_001558755.2_CDS_5998,['GCA_001558755.2_CDS_5998']
EHA_G1407_CDS_2945,"['EHA_G1407_CDS_2945', 'EHB_G1408_CDS_3867', 'EHC_G1409_CDS_4458', 'EHD_G1410_CDS_3780', 'GCA_000967095.1_CDS_0731']"
GCA_001299055.1_CDS_5962,['GCA_001299055.1_CDS_5962']
GCF_001654705.1_CDS_4306,"['GCA_001558755.2_CDS_3836', 'GCA_001654705.1_CDS_4175', 'GCF_001654705.1_CDS_4306']"
EHA_G1407_CDS_1381,"['EHA_G1407_CDS_1381', 'EHB_G1408_CDS_1490', 'EHC_G1409_CDS_1054', 'EHD_G1410_CDS_0334']"
JMCD_G1434_CDS_5023,"['JMCD_G1432_CDS_0936', 'JMCD_G1434_CDS_5023']"
GCA_038024235.1_CDS_0102,['GCA_038024235.1_CDS_0102']
GCA_001299195.1_CDS_0786,"['GCA_001299095.1_CDS_5164', 'GCA_001299195.1_CDS_0786']"
NJ7201_G1323_CDS_4261,['NJ7201_G1323_CDS_4261']
NJ7201_G1323_CDS_0485,['NJ7201_G1323_CDS_0485']
GCA_900010105.1_CDS_0092,"['GCA_001299095.1_CDS_1204', 'GCA_016403305.1_CDS_6272', 'GCA_016728825.1_CDS_2934', 'GCA_025818255.1_CDS_3140', 'GCA_900010105.1_CDS_0092']"
GCA_001641525.1_CDS_2431,"['GCA_001641525.1_CDS_2431', 'GCA_001707475.1_CDS_0145', 'GCA_001707485.1_CDS_0046', 'GCF_001641525.1_CDS_2489', 'GCF_001707485.1_CDS_0047']"
NJ7201_G1323_CDS_3464,['NJ7201_G1323_CDS_3464']
GCF_002192705.1_CDS_4564,"['GCF_002192695.1_CDS_2932', 'GCF_002192705.1_CDS_4564']"
JMCD_G1432_CDS_5133,['JMCD_G1432_CDS_5133']
JMCD_G1432_CDS_7532,"['GCA_001299155.1_CDS_5558', 'JMCD_G1432_CDS_7532', 'JMCD_G1433_CDS_7637', 'JMCD_G1434_CDS_7772']"
GCA_001298795.1_CDS_4448,"['GCA_000165835.1_CDS_6600', 'GCA_000186185.1_CDS_1539', 'GCA_001298795.1_CDS_4448', 'GCA_001299195.1_CDS_5741', 'GCF_002192695.1_CDS_1336', 'GCF_002192705.1_CDS_3597']"
GCA_013413495.1_CDS_5766,"['GCA_001298895.1_CDS_4999', 'GCA_001299155.1_CDS_5588', 'GCA_013413495.1_CDS_5766', 'JMCD_G1432_CDS_7487', 'JMCD_G1432_CDS_7488', 'JMCD_G1432_CDS_7489', 'JMCD_G1433_CDS_7593', 'JMCD_G1433_CDS_7594', 'JMCD_G1434_CDS_7815', 'JMCD_G1434_CDS_7816', 'JMCD_G1434_CDS_7817']"
GCA_033096405.1_CDS_5305,['GCA_033096405.1_CDS_5305']
JMCD_G1434_CDS_2400,['JMCD_G1434_CDS_2400']
GCA_025818255.1_CDS_0615,['GCA_025818255.1_CDS_0615']
JMCD_G1432_CDS_6032,"['AC5204_G1324_CDS_7693', 'JMCD_G1432_CDS_6032', 'JMCD_G1433_CDS_7293', 'JMCD_G1434_CDS_7514']"
GCA_001566985.1_CDS_3784,['GCA_001566985.1_CDS_3784']
GCA_001641525.1_CDS_0983,"['GCA_001566985.1_CDS_3947', 'GCA_001641525.1_CDS_0983', 'GCF_001641525.1_CDS_1011', 'GCF_009363015.1_CDS_3681']"
GCA_003503255.1_CDS_4064,"['GCA_003503255.1_CDS_4064', 'GCA_014353695.1_CDS_1324', 'GCA_014490035.1_CDS_4987', 'GCA_014529725.1_CDS_4112', 'GCF_002192695.1_CDS_2780', 'GCF_002192705.1_CDS_5941']"
GCA_028462445.1_CDS_1543,"['GCA_001298915.1_CDS_3438', 'GCA_028462445.1_CDS_1543']"
EHA_G1407_CDS_5289,"['EHA_G1407_CDS_5289', 'EHB_G1408_CDS_5401', 'EHC_G1409_CDS_5339', 'EHD_G1410_CDS_5214']"
G1413_CDS_6372,['G1413_CDS_6372']
JMCD_G1433_CDS_3410,"['AC5204_G1324_CDS_3357', 'JMCD_G1433_CDS_3410']"
GCA_001299235.1_CDS_2068,"['GCA_000967095.1_CDS_3015', 'GCA_001299235.1_CDS_2068']"
GCA_036527295.1_CDS_0717,['GCA_036527295.1_CDS_0717']
GCF_002192695.1_CDS_5421,['GCF_002192695.1_CDS_5421']
GCA_033096405.1_CDS_2518,"['GCA_001957065.1_CDS_1617', 'GCA_033096405.1_CDS_2518']"
GCA_000165835.1_CDS_6279,['GCA_000165835.1_CDS_6279']
JMCD_G1432_CDS_3437,['JMCD_G1432_CDS_3437']
GCA_900009125.1_CDS_3411,['GCA_900009125.1_CDS_3411']
GCA_027529805.1_CDS_6002,"['GCA_027529805.1_CDS_6002', 'GCA_028462445.1_CDS_5369', 'GCA_900009115.1_CDS_3484']"
GCA_001558915.2_CDS_0995,['GCA_001558915.2_CDS_0995']
PCF1_G1423_CDS_5490,"['G1412_CDS_6904', 'PCF1_G1423_CDS_5490']"
GCA_001558755.2_CDS_6124,"['GCA_001558755.2_CDS_6124', 'GCA_017745625.1_CDS_4010', 'GCA_034424885.1_CDS_5643', 'GCA_034424905.1_CDS_4746', 'GCA_034424925.1_CDS_6044']"
GCF_009363015.1_CDS_2117,['GCF_009363015.1_CDS_2117']
GCA_017745625.1_CDS_4914,['GCA_017745625.1_CDS_4914']
GCF_002192695.1_CDS_1583,['GCF_002192695.1_CDS_1583']
GCA_003503255.1_CDS_1988,"['GCA_003503255.1_CDS_1988', 'GCA_014353695.1_CDS_5282', 'GCA_014490035.1_CDS_3258', 'GCA_014529725.1_CDS_0184']"
GCA_001299035.1_CDS_5968,"['GCA_001298795.1_CDS_3980', 'GCA_001298795.1_CDS_5517', 'GCA_001298795.1_CDS_5520', 'GCA_001298895.1_CDS_5734', 'GCA_001299035.1_CDS_5968', 'GCA_001299175.1_CDS_5243', 'GCA_001299265.1_CDS_5952', 'GCA_001299335.1_CDS_2207']"
GCF_002192705.1_CDS_3293,"['GCA_017745625.1_CDS_1315', 'GCF_002192695.1_CDS_1383', 'GCF_002192705.1_CDS_3293']"
GCF_002192695.1_CDS_5582,"['GCA_000165835.1_CDS_3685', 'GCF_002192695.1_CDS_5582']"
JMCD_G1433_CDS_6310,['JMCD_G1433_CDS_6310']
GCA_001298935.1_CDS_5490,['GCA_001298935.1_CDS_5490']
GCA_001558755.2_CDS_0604,"['GCA_001558755.2_CDS_0604', 'GCA_001558755.2_CDS_0605', 'GCA_023703405.1_CDS_0353', 'GCA_023703405.1_CDS_6096', 'GCA_023703405.1_CDS_6097', 'GCA_023703405.1_CDS_6098']"
G1413_CDS_4262,"['G1413_CDS_4262', 'G1414_CDS_1318']"
GCA_013413495.1_CDS_5814,['GCA_013413495.1_CDS_5814']
GCA_001298795.1_CDS_3144,"['GCA_001298795.1_CDS_3144', 'GCA_001299195.1_CDS_3889', 'GCA_029837755.1_CDS_1147', 'GCF_029837835.1_CDS_1533']"
GCA_001298935.1_CDS_3251,"['GCA_001298935.1_CDS_3251', 'GCA_001299115.1_CDS_0679', 'GCA_001299415.1_CDS_1331']"
NJ810_G1325_CDS_4490,"['DC32_G1318_CDS_4479', 'NJ810_G1325_CDS_4490']"
NJ7201_G1323_CDS_0402,['NJ7201_G1323_CDS_0402']
GCF_002192695.1_CDS_1016,"['GCA_000165835.1_CDS_5643', 'GCF_002192695.1_CDS_1016', 'GCF_002192705.1_CDS_1018']"
GCA_017745625.1_CDS_3235,['GCA_017745625.1_CDS_3235']
GCA_010815595.1_CDS_3631,"['GCA_010815595.1_CDS_3631', 'GCA_022488515.1_CDS_5580', 'GCA_028745525.1_CDS_5004']"
GCF_002192705.1_CDS_0475,['GCF_002192705.1_CDS_0475']
GCA_017745625.1_CDS_3245,['GCA_017745625.1_CDS_3245']
GCF_001707485.1_CDS_1267,['GCF_001707485.1_CDS_1267']
GCF_002192705.1_CDS_2711,"['GCA_022488515.1_CDS_1269', 'GCA_038024235.1_CDS_0086', 'GCF_002192705.1_CDS_2711']"
GCF_001641525.1_CDS_3034,"['GCA_001566985.1_CDS_1989', 'GCA_001641525.1_CDS_2962', 'GCF_001641525.1_CDS_3034']"
GCA_001299175.1_CDS_5399,"['GCA_001298895.1_CDS_1845', 'GCA_001299175.1_CDS_5399', 'GCA_001299235.1_CDS_1066', 'GCA_001299265.1_CDS_6029']"
G1412_CDS_2875,"['G1412_CDS_2875', 'G1413_CDS_2832', 'G1414_CDS_2730']"
GCA_008631215.1_CDS_4784,"['GCA_001957065.1_CDS_3649', 'GCA_008631215.1_CDS_4784', 'GCA_017745625.1_CDS_1986', 'GCA_025426095.1_CDS_1375']"
GCA_013282235.1_CDS_1001,['GCA_013282235.1_CDS_1001']
GCA_017745625.1_CDS_3988,['GCA_017745625.1_CDS_3988']
GCA_000165835.1_CDS_3838,"['GCA_000165835.1_CDS_3838', 'NJ7201_G1323_CDS_2965']"
GCA_001298895.1_CDS_4379,"['GCA_001298895.1_CDS_4379', 'GCA_029837755.1_CDS_1302', 'GCA_034424885.1_CDS_0671', 'GCA_034424905.1_CDS_0150', 'GCA_034424925.1_CDS_5213', 'GCF_029837835.1_CDS_3700']"
GCA_013282255.1_CDS_3133,"['GCA_013282255.1_CDS_3133', 'GCA_900475575.1_CDS_1110']"
GCF_001641525.1_CDS_2666,"['GCA_001641525.1_CDS_2601', 'GCF_001641525.1_CDS_2666']"
GCF_002192695.1_CDS_2672,['GCF_002192695.1_CDS_2672']
GCA_000967095.1_CDS_3361,"['GCA_000508285.1_CDS_4952', 'GCA_000967095.1_CDS_3361']"
JMCD_G1432_CDS_7533,"['GCA_001298895.1_CDS_5052', 'GCA_001299155.1_CDS_5557', 'JMCD_G1432_CDS_7533', 'JMCD_G1433_CDS_7638', 'JMCD_G1434_CDS_7886']"
GCA_017745625.1_CDS_2795,['GCA_017745625.1_CDS_2795']
GCA_027922385.1_CDS_0782,['GCA_027922385.1_CDS_0782']
NJ7201_G1323_CDS_4910,['NJ7201_G1323_CDS_4910']
GCA_001957065.1_CDS_1916,"['GCA_001957065.1_CDS_1916', 'GCA_025818255.1_CDS_1024', 'GCA_033096405.1_CDS_1785']"
JMCD_G1432_CDS_1021,['JMCD_G1432_CDS_1021']
GCA_000508285.1_CDS_4520,['GCA_000508285.1_CDS_4520']
GCA_032703345.1_CDS_5671,['GCA_032703345.1_CDS_5671']
GCA_001641525.1_CDS_0453,"['GCA_001566985.1_CDS_3519', 'GCA_001641525.1_CDS_0453', 'GCF_001641525.1_CDS_0459', 'GCF_009363015.1_CDS_4335', 'NJ7201_G1323_CDS_2440']"
GCA_003293615.1_CDS_5810,['GCA_003293615.1_CDS_5810']
G1412_CDS_6397,"['AC5204_G1324_CDS_0345', 'G1412_CDS_6397', 'PCF1_G1423_CDS_5951']"
GCA_003503255.1_CDS_0857,"['GCA_003503255.1_CDS_0857', 'GCA_014353695.1_CDS_0933', 'GCA_014490035.1_CDS_5301', 'GCA_014529725.1_CDS_2092']"
GCA_001299335.1_CDS_0949,['GCA_001299335.1_CDS_0949']
GCF_001541435.1_CDS_5451,['GCF_001541435.1_CDS_5451']
GCA_000186185.1_CDS_1513,['GCA_000186185.1_CDS_1513']
GCA_000165835.1_CDS_3855,['GCA_000165835.1_CDS_3855']
GCA_027529815.1_CDS_3768,['GCA_027529815.1_CDS_3768']
JMCD_G1434_CDS_5369,"['AC5204_G1324_CDS_1528', 'G1412_CDS_0607', 'G1413_CDS_0615', 'JMCD_G1434_CDS_5369', 'PCF1_G1423_CDS_4905']"
GCA_001298795.1_CDS_3118,"['GCA_001298795.1_CDS_3118', 'GCA_001299195.1_CDS_3915', 'GCA_029837755.1_CDS_1119', 'GCF_029837835.1_CDS_1505']"
GCA_001558755.2_CDS_2800,['GCA_001558755.2_CDS_2800']
GCA_027922385.1_CDS_3495,"['GCA_001558755.2_CDS_0707', 'GCA_027922385.1_CDS_3495', 'NJ7201_G1323_CDS_5682']"
GCA_017745625.1_CDS_4993,['GCA_017745625.1_CDS_4993']
GCA_027529565.1_CDS_1461,['GCA_027529565.1_CDS_1461']
GCA_001558915.2_CDS_1814,['GCA_001558915.2_CDS_1814']
GCA_000967095.1_CDS_0038,"['GCA_000967095.1_CDS_0038', 'GCA_001299265.1_CDS_5798', 'GCA_001558755.2_CDS_1871', 'GCA_001810925.1_CDS_5231', 'GCA_001957055.1_CDS_3762', 'GCA_022488515.1_CDS_0281', 'GCA_034078005.1_CDS_5447']"
GCA_001299055.1_CDS_5978,['GCA_001299055.1_CDS_5978']
GCF_009363015.1_CDS_3406,"['GCA_040438975.1_CDS_4420', 'GCF_009363015.1_CDS_3406']"
GCF_009363015.1_CDS_5493,['GCF_009363015.1_CDS_5493']
GCA_017745625.1_CDS_1810,['GCA_017745625.1_CDS_1810']
GCF_002192705.1_CDS_2105,['GCF_002192705.1_CDS_2105']
GCA_900009125.1_CDS_3738,['GCA_900009125.1_CDS_3738']
GCA_016599195.1_CDS_5725,"['GCA_016599195.1_CDS_5725', 'GCA_027529585.1_CDS_1679', 'GCA_900009115.1_CDS_1953']"
GCA_900009115.1_CDS_1334,['GCA_900009115.1_CDS_1334']
GCA_022488545.1_CDS_4258,['GCA_022488545.1_CDS_4258']
GCA_022488545.1_CDS_1432,"['GCA_017745625.1_CDS_4063', 'GCA_017745625.1_CDS_4094', 'GCA_022488545.1_CDS_1432']"
GCA_033096405.1_CDS_5211,['GCA_033096405.1_CDS_5211']
GCA_003503255.1_CDS_3343,"['GCA_003503255.1_CDS_3343', 'GCA_014353695.1_CDS_4889', 'GCA_014490035.1_CDS_5717', 'GCA_014529725.1_CDS_6068']"
GCA_034424885.1_CDS_0224,"['GCA_000186185.1_CDS_0865', 'GCA_034424885.1_CDS_0224', 'GCA_034424905.1_CDS_6012']"
GCA_016403305.1_CDS_0124,"['GCA_016403305.1_CDS_0124', 'GCA_016728825.1_CDS_3084', 'GCA_025426095.1_CDS_2119']"
NJ7201_G1323_CDS_0887,['NJ7201_G1323_CDS_0887']
GCA_013343135.1_CDS_3220,"['GCA_001457475.1_CDS_5729', 'GCA_013343135.1_CDS_3220', 'GCA_016027035.1_CDS_1474', 'GCA_022870085.1_CDS_5875', 'GCA_029837755.1_CDS_3224', 'GCA_900475575.1_CDS_5665', 'GCF_029837835.1_CDS_4866']"
JMCD_G1432_CDS_4306,"['GCA_001298895.1_CDS_1575', 'JMCD_G1432_CDS_4306', 'JMCD_G1433_CDS_1486', 'JMCD_G1434_CDS_1523']"
GCF_001641525.1_CDS_2507,"['GCA_001641525.1_CDS_2446', 'GCF_001641525.1_CDS_2507']"
GCA_000186185.1_CDS_0013,"['GCA_000186185.1_CDS_0013', 'GCA_001299295.1_CDS_4298']"
GCA_017745625.1_CDS_3611,['GCA_017745625.1_CDS_3611']
GCA_027529565.1_CDS_3038,['GCA_027529565.1_CDS_3038']
GCA_036035015.1_CDS_5622,"['GCA_001558915.2_CDS_5241', 'GCA_008631215.1_CDS_0111', 'GCA_036035015.1_CDS_5622']"
GCA_001641525.1_CDS_3895,"['GCA_001038045.1_CDS_1456', 'GCA_001641525.1_CDS_3895', 'GCA_001813885.1_CDS_1663', 'GCF_001541435.1_CDS_5450', 'GCF_001641525.1_CDS_3999', 'GCF_001707485.1_CDS_3350']"
GCF_002192705.1_CDS_5138,"['GCA_000165835.1_CDS_6277', 'GCA_001558755.2_CDS_2510', 'GCF_002192705.1_CDS_5138']"
GCA_034424885.1_CDS_1295,"['GCA_034424885.1_CDS_1295', 'GCA_034424905.1_CDS_0978', 'GCA_034424925.1_CDS_0013']"
GCA_027529815.1_CDS_3790,['GCA_027529815.1_CDS_3790']
G1413_CDS_6845,"['G1412_CDS_6838', 'G1413_CDS_6845', 'G1414_CDS_5503', 'GCA_025818255.1_CDS_1563']"
